FOLIO INSTITUCIONAL,MÓDULO,FOLIO DE MÓDULO,SEMANA,ESTACIÓN,LÍNEA,FECHA,DÍA,MES,HORA DE AGRESIÓN,HORA DE ATENCIÓN,HORA DE CIERRE DE ATENCIÓN,DESCRIPCIÓN,MODO DE ACCIÓN,DELITO,LUGAR DE LOS HECHOS,SEXO,EDAD,OCUPACIÓN ESPECÍFICA,OCUPACIÓN GENERAL,ESCOLARIDAD DE LA VICTIMA,DELEGACIÓN O MUNICIPIO,ESTADO,SEXO AGRESOR,EDAD  AGRESOR,OCUPACIÓN ESPECÍFICA 2,OCUPACIÓN GENERAL 2,ESCOLARIDAD,DELEGACIÓN O MUNICIPIO 2,ESTADO2,SIN DETENIDO,OBSERVACIONES,OBSTÁCULOS DE COLABORACIÒN,AUTORIDAD,CORPORACION REMITENTE
1954,BALDERAS,B-004,DEL 13 AL 17 DE ENERO DE 2014,NIÑOS HÉROES,3,17 DE ENERO ,VIERNES,ENERO,13:00,13:30,19:07,VIOLENCIA FAMILIAR (VERBAL),PERSISTENTE Y POCO AGRESIVA,VIOLENCIA FAMILIAR,TERCER VAGÓN,MUJER,41,EMPLEADA,EMPLEADA,PRIMARIA,DELEGACIÓN IZTACALCO,DF,HOMBRE,43,CARPINTERO,OFICIO,PRIMARIA,DELEGACIÓN IZTACALCO,DF,NA,CUENTA CON AVERIGUACIÓN PREVIA POR VIOLENCIA FAMILIAR FIZC/IZC/1/T2/2193/13-11. SE RESERVO SU DERECHO A DENUNCIAR EN EL MP,PROCESO LENTO DURANTE LA ENTREVISTA CON LAVÍCTIMA POR PARTE DEL MP ARMANDO HUERTA,DC,PBI
1955,PINO SUÁREZ,PS-005,DEL 13 AL 17 DE ENERO DE 2014,XOLA,2,17 DE ENERO ,VIERNES,ENERO,14:20,16:09,19:15,PERSECUCIÓN CON POSIBLES FINES LASCIVOS,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,TAQUILLA  DE LA ESTACION,MUJER,35,EMPLEADA DE GOBIERNO,SERVIDORA PÚBLICA,PREPARATORIA ,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,38,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA MINISTERIO PÚBLICO (METRO HIDALGO) ,SIN DETENIDO
1956,HIDALGO,H-003,DEL 20 AL 24 DE ENERO DE 2014,HIDALGO,3,20 DE ENERO DE 2014,LUNES,ENERO,10:20,10:54,15:30,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,26,EMPLEADA DE GOBIERNO,SERVIDORA PÚBLICA,PREPARATORIA,MUNICIPIO DE TECAMAC,ESTADO DE MÉXICO,HOMBRE,39,EMPLEADO,EMPLEADO,CARRERA TÉCNICA,DELEGACIÓN IZTACALCO,DF,NA,NINGUNA,NINGUNO,FDS,PA
1957,HIDALGO,H-004,DEL 20 AL 24 DE ENERO DE 2014,HIDALGO,2,20 DE ENERO DE 2014,LUNES,ENERO,18:26,18:28,02:45,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,ESCALERAS FIJAS DE CORRESPONDENCIA,MUJER,32,EMPLEADA,EMPLEADA,CARRERA TÉCNICA,DELEGACIÓN GUSTAVO A. MADERO,DF,HOMBRE,20,AYUDANTE DE COCINA,EMPLEADO,PREPARATORIA,DELEGACIÓN ÁLVARO OBREGÓN,DF,NA,EN LA FISCALÍA NÚMERO 5 ÉL ESPOSO DE LA VÍCTIMA (JULIO CESAR ALCARADO JIMÉNEZ) GOLPEÓ AL PR OCASIONÁNDOLE LESIONES,NINGUNO,FDS,PA
1958,HIDALGO,H-005,DEL 20 AL 24 DE ENERO DE 2014,HIDALGO,3,21 DE ENERO DE 2014,MARTES,ENERO,14:50,15:18,00:10,TOCAMIENTO EN GLÚTEO ,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,PRIMER VAGÓN,MUJER,20,EMPLEADA,EMPLEADA,SIN DATO,MUNICIPIO DE TULTITLAN,ESTADO DE MÉXICO,HOMBRE,25,COMERCIANTE,COMERCIANTE,SECUNDARIA,DELEGACIÓN VENUSTIANO CARRANZA,DF,NA,NINGUNA,NINGUNO,FDS,PA
1959,HIDALGO,H-006,DEL 20 AL 24 DE ENERO DE 2014,HIDALGO,2,22 DE ENERO DE 2014,MIÉRCOLES,ENERO,11:25,11:40,17:54,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,TERCER VAGÓN,MUJER,17,ESTUDIANTE,ESTUDIANTE,PREPARATORIA,TLALPAN,DF,HOMBRE,29,DESEMPLEADO,DESEMPLEADO,SECUNDARIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,NA,EL PR ES REINCIDENTE POR EL MISMO DELITO ,NINGUNO,FDS,PA
1960,PANTITLÁN,P-002,DEL 20 AL 24 DE ENERO DE 2014,PANTITLÁN,9,23 DE ENERO,JUEVES,ENERO,09:10,09:45,16:20,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,ESCALERAS FIJAS,MUJER,21,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,HOMBRE,23,MENSAJERO,EMPLEADO,PREPARATORIA,DELEGACIÓN IZTAPALAPA,DF,NA,LA SALIDA DE MODULO SE DEMORO PORQUE NO CONTESTABAN EN FISCALÍA Y CUANDO LO HICIERON DIJERON QUE ESPERARA 10 MINUTOS,NINGUNO,FDS,PA
1961,HIDALGO,H-007,DEL 20 AL 24 DE ENERO DE 2014,HIDALGO,2,23 DE ENERO,JUEVES,ENERO,13:55,14:00,16:55,AMENAZA POR MOBBING,PERSISTENTE Y VIOLENTA,AMENAZA POR MOBBING,TORNIQUETES,MUJER,24,EMPLEADA DOMÉSTICA,EMPLEADA,PREPARATORIA,DELEGACIÓN CUAUHTÉMOC,DF,MUJER,31,EMPLEADO,EMPLEADO,PREPARATORIA,DELEGACIÓN CUAUHTÉMOC,DF,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA MINISTERIO PÚBLICO (METRO HIDALGO) ,SIN DETENIDO
1962,PINO SUÁREZ,PS-006,DEL 20 AL 24 DE ENERO DE 2014,PINO SUÁREZ,1,24 DE ENERO DE 2014,VIERNES,ENERO,13:30,13:55,20:31,TOCAMIENTO EN ÁREA PÚBICA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,TERCER VAGÓN,MUJER,18,TAREAS DEL HOGAR,TAREAS DEL HOGAR,SECUNDARIA,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,29,CONTADOR,PROFESIONISTA,PROFESIONAL,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
1963,PANTITLÁN,P-003,DEL 20 AL 24 DE ENERO DE 2014,PANTITLÁN,A,24 DE ENERO DE 2014,VIERNES,ENERO,18:50,19:40,04:40,TOCAMIENTO EN ÁREA PÚBICA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,PASILLO  DE CORRESPONDENCIA ,MUJER,36,VIGILANTE ,EMPLEADA,SECUNDARIA,MUNICIPIO DE TLAMANALCO,ESTADO DE MÉXICO,HOMBRE,32,COCINERO,EMPLEADO,SECUNDARIA,MUNICIPIO DE CHIMALHUACÁN,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
1964,PANTITLÁN,P-004,DEL 27 AL 31 DE ENERO DE 2014,PANTITLÁN,9,27 DE ENERO DE 2014,LUNES,ENERO,07:50,08:45,18:28,FRICCIÓN DE PENE EN GLÚTEOS,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,12,ESTUDIANTE,ESTUDIANTE,SECUNDARIA,DELEGACIÓN IZTACALCO,DF,HOMBRE,36,AUXILIAR ADMINISTRATIVO,EMPLEADO,PROFESIONAL, MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
1965,BALDERAS,B-005,DEL 27 AL 31 DE ENERO DE 2014,GUERRERO,3,27 DE ENERO DE 2014,LUNES,ENERO,09:18,09:24,15:40,TOCAMIENTO EN ÁREA PÚBICA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,22,TAREAS DEL HOGAR,TAREAS DEL HOGAR,PREPARATORIA,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,37,EMPLEADO,EMPLEADO,PROFESIONAL,DELEGACIÓN GUSTAVO A. MADERO,DF,NA,NINGUNA,NINGUNO,FDS,PA
1966,PANTITLÁN,P-005,DEL 27 AL 31 DE ENERO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (HOTEL),FUERA DE LAS INSTALACIONES DEL STC (HOTEL),27 DE ENERO DE 2014,LUNES,ENERO,23:45 DEL 26 DE ENERO DE 2014,14:15,23:43,VIOLACIÓN,PERSISTENTE Y VIOLENTA,VIOLACIÓN,FUERA DE LAS INSTALACIONES DEL STC (HOTEL),MUJER,19,DESEMPLEADA,DESEMPLEADA,PREPARATORIA,MUNICIPIO DE CHALCO,ESTADO DE MÉXICO,HOMBRE,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DETENIDO,"LA VÍCTIMA REFIERE SABER  ÚNICAMENTE LOS APODOS DE SUS AGRESORES, HIELOS, NENUCO, ERASMO, SAICO, PACO",NINGUNO,FDS,SIN DETENIDO
1967,BALDERAS,B-006,DEL 27 AL 31 DE ENERO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),28 DE ENERO DE 2014,MARTES,ENERO,18:00 DEL 26 DE ENERO DE 2014,13:40,19:41,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA),PERSISTENTE Y VIOLENTA,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),MUJER,25,EMPLEADA,EMPLEADA,PREPARATORIA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,24,EMPLEADO,EMPLEADO,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA (CAVI),SIN DETENIDO
1968,PINO SUÁREZ,PS-007,DEL 27 AL 31 DE ENERO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),28 DE ENERO DE 2014,MARTES,ENERO,09:30,17:40,22:05,VIOLENCIA FAMILIAR (VERBAL),AGRESIVA VERBAL Y FÍSICAMENTE,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),MUJER,35,TRABAJADORA DOMESTICA,EMPLEADA,PRIMARIA,DELEGACIÓN TLAHUAC,DF,HOMBRE,30,COMERCIANTE,COMERCIANTE,SECUNDARIA,DELEGACIÓN TLAHUAC,DF,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA (CAVI),SIN DETENIDO
1969,BALDERAS,B-007,DEL 27 AL 31 DE ENERO DE 2014,CENTRO MÉDICO,9,29 DE ENERO DE 2014,MIÉRCOLES,ENERO,08:45,16:00,17:00,TOCAMIENTO EN GLÚTEO ,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,TERCER VAGÓN,MUJER,44,EMPLEADA,EMPLEADA,CARRERA TÉCNICA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DETENIDO,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,SIN DETENIDO
1970,PINO SUÁREZ,PS-008,DEL 27 AL 31 DE ENERO DE 2014,SAN LÁZARO,B,30 DE ENERO DE 2014,JUEVES,ENERO,13:40,14:20,23:20,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,26,DESEMPLEADA,DESEMPLEADA,MAESTRÍA,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,HOMBRE,55,DESEMPLEADO,DESEMPLEADO,PROFESIONAL,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
1971,HIDALGO,H-008,DEL 27 AL 31 DE ENERO DE 2014,HIDALGO,3,30 DE ENERO DE 2014,JUEVES,ENERO,15:25,15:50,21:39,TOCAMIENTO EN GLÚTEOS,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,OCTAVO VAGÓN,MUJER,22,ESTUDIANTE,ESTUDIANTE,PROFESIONAL INCOMPLETA,DELEGACIÓN XOCHIMILCO,DF,HOMBRE,45,COMERCIANTE,COMERCIANTE,SECUNDARIA,DELEGACIÓN MIGUEL HIDALGO,DF,NA,NINGUNA,NINGUNO,FDS,PA
1972,PINO SUÁREZ,PS-009,DEL 27 AL 31 DE ENERO DE 2014,PINO SUÁREZ,1,31 DE ENERO DE 2014,VIERNES,ENERO,09:06,09:10,13:20,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA),AGRESIVA VERBAL Y FÍSICAMENTE,VIOLENCIA FAMILIAR,PASILLO  DE CORRESPONDENCIA ,HOMBRE/ HOMBRE,8 Y 5,SIN DATO,SIN DATO,SIN DATO,MUNICIPIO DE LOS REYES LA PAZ,ESTADO DE MÉXICO,MUJER,35,SIN DATO,SIN DATO,SECUNDARIA,MUNICIPIO LOS REYES LA PAZ,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,OTRA INSTANCIA (FISCALIA DEL MENOR),PBI
1973,PINO SUÁREZ,PS-010,DEL 03 AL 07 DE FEBRERO DE 2014,SAN ANTONIO ,2,04 DE FEBRERO DE 2014,MARTES,FEBRERO,10:05,10:20,19:40,TOCAMIENTO EN GLÚTEOS,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,OCTAVO VAGÓN,MUJER,28,EMPLEADA,EMPLEADA,CARRERA TÉCNICA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,62,EMPLEADO,EMPLEADO,SECUNDARIA,MUNICIPIO DE CHIMALHUACÁN,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
1974,GUERRERO,G-001,DEL 03 AL 07 DE FEBRERO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (INMEDIACIONESPARADERO ESTACIÓN INDIOS VERDES LÍNEA 3),FUERA DE LAS INSTALACIONES DEL STC (INMEDIACIONESPARADERO ESTACIÓN INDIOS VERDES LÍNEA 3),10 DE FEBRERO DE 2014,LUNES,FEBRERO,13:47,14:35,22:47,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,FUERA DE LAS INSTALACIONES DEL STC (INMEDIACIONESPARADERO ESTACIÓN INDIOS VERDES LÍNEA 3),MUJER,19,ESTUDIANTE,ESTUDIANTE,PROFESIONAL INCOMPLETA,MUNICIPIO DE TECAMAC,ESTADO DE MÉXICO,HOMBRE,53,ALBAÑIL,OFICIO,PRIMARIA TRUNCA,DELEGACIÓN COYOACÁN,DF,NA,NINGUNA,LA LLEGADA A LA FISCALÍA FUE A LAS 15:45 Y LA RECEPCIÓN FUE HASTA LAS 19:00 ,FDS,PA
1975,PINO SUÁREZ,PS-011,DEL 10 AL 14 DE FEBRERO DE 2014,CHABACANO,8,11 DE FEBRERO DE 2014,MARTES,FEBRERO,09:38,10:20,17:50,TOCAMIENTO EN GLÚTEOS,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,ESCALERAS FIJAS,MUJER,18,TAREAS DEL HOGAR,TAREAS DEL HOGAR,PREPARATORIA,DELEGACIÓN MIGUEL HIDALGO,DF,HOMBRE ,21,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN CUAUHTÉMOC,DF,NA,EL SERVICIO EN LA FISCALIA FUE MUY LENTO SIN RAZÓN APARENTE,NINGUNO,FDS,PA
1976,HIDALGO,H-009,DEL 10 AL 14 DE FEBRERO DE 2014,HIDALGO,2,13 DE FEBRERO DE 2014,JUEVES,FEBRERO,12:10,12:23,12:45,FRICCIÓN DE PENE EN GLÚTEOS,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,INTERIOR DE VAGÓN,MUJER,43,EMPLEADA,EMPLEADA,PREPARATORIA,DELEGACIÓN COYOACÁN,DF,HOMBRE,31,SIN DATO,SIN DATO,SIN DATO,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PA
1977,HIDALGO,H-010,DEL 10 AL 14 DE FEBRERO DE 2014,BELLAS ARTES,2,13 DE FEBRERO DE 2014,JUEVES,FEBRERO,14:35,14:55,20:00,TOCAMIENTO EN ÁREA PÚBICA Y FRICCIÓN DE PENE ,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,QUINTO VAGÓN ,MUJER,24,EMPLEADA,EMPLEADA,PREPARATORIA,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,30,SIN DATO,SIN DATO,SIN DATO,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
1978,HIDALGO,H-011,DEL 10 AL 14 DE FEBRERO DE 2014,GUERRERO,3,13 DE FEBRERO DE 2014,JUEVES,FEBRERO,17:45,18:25,00:10,MASTURBACIÓN ,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,CUARTO VAGÓN,MUJER,26,EMPLEADA,EMPLEADA,PREPARATORIA,DELEGACIÓN IZTACALCO,DF,HOMBRE,47,PLOMERO,OFICIO,SECUNDARIA,MUNICIPIO ATIZAPAN,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
1979,HIDALGO,H-012,DEL 10 AL 14 DE FEBRERO DE 2014,LA RAZA,3,14 DE FEBRERO DE 2014,VIERNES,FEBRERO,08:35,09:40,15:16,TOCAMIENTO EN GLÚTEO ,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,SEXTO VAGÓN,MUJER,23,OPERADORA TELÉFONICA,EMPLEADA,PREPARATORIA,DELEGACIÓN GUSTAVO A. MADERO,DF,HOMBRE,25,EMPLEADO,EMPLEADO,SECUNDARIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
1980,HIDALGO,H-013,DEL 10 AL 14 DE FEBRERO DE 2014,HIDALGO,2,14 DE FEBRERO DE 2014,VIERNES,FEBRERO,11:45,11:53,17:07,TOCAMIENTO EN GLÚTEO Y ÁREA PÚBICA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,ANDEN ,MUJER,19,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN GUSTAVO A. MADERO,DF,HOMBRE,28,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
